datetime,open,high,low,close,volume,InstrumentID,ATR,mvag,Signal,Position,Trade_Price,Cum_PnL
2023-01-09 14:47:00,4016.2,4017.8,4016.0,4017.8,5577680,IF2301,1.7882954368984396,4019.6599999999985,0,-2,,-71.79999999999745
2023-01-09 14:48:00,4017.8,4019.0,4017.2,4018.8,5907333,IF2301,1.788880665053527,4019.5999999999985,0,-2,,-71.79999999999745
2023-01-09 14:49:00,4018.6,4019.4,4018.2,4018.6,5981260,IF2301,1.7894366318008597,4019.579999999999,0,-2,,-71.79999999999745
2023-01-09 14:50:00,4018.4,4018.4,4017.2,4017.2,6172046,IF2301,1.7599648002108303,4019.579999999999,0,-2,,-71.79999999999745
2023-01-09 14:51:00,4017.2,4017.2,4014.4,4015.2,6336925,IF2301,1.7419665602002934,4019.489999999999,0,-2,,-71.79999999999745
2023-01-09 14:52:00,4015.2,4016.4,4014.4,4015.8,6299369,IF2301,1.7948682321902651,4019.1499999999987,0,-2,,-71.79999999999745
2023-01-09 14:53:00,4015.6,4015.6,4014.8,4015.4,6287051,IF2301,1.8051248205807517,4018.7899999999986,0,-2,,-71.79999999999745
2023-01-09 14:54:00,4015.2,4015.8,4014.6,4015.6,6375365,IF2301,1.7648685795517143,4018.5499999999984,0,-2,,-71.79999999999745
2023-01-09 14:55:00,4015.6,4015.6,4014.2,4014.4,6358980,IF2301,1.7366251505741421,4018.2299999999987,-1,-3,4014.4,-71.79999999999745
2023-01-09 14:56:00,4014.8,4015.0,4013.0,4013.4,6570077,IF2301,1.7197938930454395,4017.8199999999983,-1,-4,4013.4,-71.79999999999745
2023-01-09 14:57:00,4013.0,4013.8,4012.0,4013.2,6632807,IF2301,1.7338041983931674,4017.429999999998,0,-4,,-71.79999999999745
2023-01-09 14:58:00,4013.0,4013.4,4012.0,4012.6,6689919,IF2301,1.7371139884735183,4017.029999999998,0,-4,,-71.79999999999745
2023-01-09 14:59:00,4012.2,4012.4,4011.2,4011.8,6752647,IF2301,1.720258289049847,4016.5999999999985,-1,-5,4011.8,-71.79999999999745
2023-01-09 15:00:00,4011.6,4011.6,4011.6,4011.6,56555,IF2301,1.7042453745973591,4016.1299999999987,0,-5,,-71.79999999999745
2023-01-10 09:30:00,4013.8,4013.8,4003.4,4009.2,118739,IF2301,1.6290331058675047,4015.669999999999,-1,-6,4009.2,-71.79999999999745
2023-01-10 09:31:00,4009.2,4011.0,4008.0,4008.6,227246,IF2301,2.067581450574134,4015.1899999999987,0,-6,,-71.79999999999745
2023-01-10 09:32:00,4008.4,4010.4,4005.2,4010.0,305252,IF2301,2.1142023780454275,4014.779999999999,0,-6,,-71.79999999999745
2023-01-10 09:33:00,4010.0,4010.0,4007.2,4007.8,379858,IF2301,2.2684922591431698,4014.4399999999987,-1,-7,4007.8,-71.79999999999745
2023-01-10 09:34:00,4007.8,4011.2,4007.6,4010.0,438543,IF2301,2.2950676461860207,4014.0399999999986,0,-7,,-71.79999999999745
2023-01-10 09:35:00,4010.0,4012.8,4008.8,4012.2,491578,IF2301,2.360314263876715,4013.679999999999,0,-7,,-71.79999999999745
2023-01-10 09:36:00,4011.8,4014.6,4010.8,4013.0,544212,IF2301,2.442298550682879,4013.459999999998,0,-7,,-71.79999999999745
2023-01-10 09:37:00,4013.2,4014.4,4012.4,4012.8,584227,IF2301,2.510183623148721,4013.2199999999984,0,-7,,-71.79999999999745
2023-01-10 09:38:00,4012.8,4013.0,4009.2,4009.4,630938,IF2301,2.4846744419912854,4012.9199999999983,0,-7,,-71.79999999999745
2023-01-10 09:39:00,4009.6,4010.8,4009.0,4009.8,669084,IF2301,2.5504407198917303,4012.4599999999978,0,-7,,-71.79999999999745
2023-01-10 09:40:00,4010.4,4010.8,4008.6,4008.8,688993,IF2301,2.5129186838971527,4012.089999999998,0,-7,,-71.79999999999745
2023-01-10 09:41:00,4008.2,4009.2,4007.0,4008.8,736074,IF2301,2.497272749702309,4011.769999999998,0,-7,,-71.79999999999745
2023-01-10 09:42:00,4008.8,4011.8,4008.6,4010.0,768291,IF2301,2.4824091122171845,4011.4199999999983,0,-7,,-71.79999999999745
2023-01-10 09:43:00,4009.8,4011.4,4009.0,4010.2,802455,IF2301,2.5182886566063387,4011.1499999999987,0,-7,,-71.79999999999745
2023-01-10 09:44:00,4010.2,4013.6,4009.0,4013.6,827863,IF2301,2.5123742237760265,4010.8799999999983,0,0,4013.6,-84.79999999999609
2023-01-10 09:45:00,4013.2,4017.2,4013.2,4015.8,891254,IF2301,2.6167555125872206,4010.839999999999,0,0,,-84.79999999999609
2023-01-10 09:46:00,4015.6,4015.6,4014.0,4014.8,877318,IF2301,2.6859177369578595,4010.959999999999,0,0,,-84.79999999999609
2023-01-10 09:47:00,4014.6,4014.6,4011.4,4013.2,923107,IF2301,2.6416218501099755,4011.0399999999995,0,0,,-84.79999999999609
2023-01-10 09:48:00,4013.2,4015.6,4012.2,4012.8,946562,IF2301,2.679540757604481,4011.069999999999,0,0,,-84.79999999999609
2023-01-10 09:49:00,4012.8,4014.0,4011.6,4014.0,940480,IF2301,2.7155637197242615,4011.119999999999,0,0,,-84.79999999999609
2023-01-10 09:50:00,4014.0,4016.0,4013.0,4013.2,994448,IF2301,2.6997855337380527,4011.239999999999,0,0,,-84.79999999999609
2023-01-10 09:51:00,4013.2,4016.6,4012.2,4016.6,1010129,IF2301,2.7147962570511504,4011.4399999999987,0,0,,-84.79999999999609
2023-01-10 09:52:00,4016.8,4016.8,4014.0,4014.8,1069742,IF2301,2.7990564441985972,4011.839999999999,0,0,,-84.79999999999609
2023-01-10 09:53:00,4015.0,4018.6,4015.0,4017.0,1100131,IF2301,2.7991036219886767,4012.079999999999,0,0,,-84.79999999999609
2023-01-10 09:54:00,4016.8,4018.0,4015.8,4017.0,1091641,IF2301,2.849148440889229,4012.5399999999986,0,0,,-84.79999999999609
2023-01-10 09:55:00,4016.8,4021.8,4016.4,4021.0,1142764,IF2301,2.8166910188447583,4012.8899999999985,1,1,4021.0,-84.79999999999609
2023-01-10 09:56:00,4021.4,4023.8,4020.2,4022.6,1225894,IF2301,2.9458564679025248,4013.329999999999,1,2,4022.6,-84.79999999999609
2023-01-10 09:57:00,4022.6,4023.0,4020.8,4022.8,1221381,IF2301,2.9785636445074166,4013.809999999999,0,2,,-84.79999999999609
2023-01-10 09:58:00,4022.6,4023.0,4020.8,4021.2,1239189,IF2301,2.9396354622820366,4014.309999999999,0,2,,-84.79999999999609
2023-01-10 09:59:00,4021.4,4021.8,4019.0,4019.6,1261592,IF2301,2.9026536891679258,4014.899999999999,0,2,,-84.79999999999609
2023-01-10 10:00:00,4019.8,4021.2,4019.4,4020.8,1344164,IF2301,2.8975210047095383,4015.3899999999994,0,2,,-84.79999999999609
2023-01-10 10:01:00,4021.0,4022.0,4019.4,4020.6,1346931,IF2301,2.8426449544740477,4015.9899999999993,0,2,,-84.79999999999609
2023-01-10 10:02:00,4020.6,4024.0,4020.6,4023.4,1360199,IF2301,2.830512706750341,4016.5799999999995,0,2,,-84.79999999999609
